ItemId,Category,Plan,Super.Category,Volume,ABClass
Product 11,Sub Category 2,Region 1,Category 3,183.33,C
Product 12,Sub Category 2,Region 1,Category 3,1120.53,B
Product 13,Sub Category 2,Region 1,Category 3,44,C
Product 1314,Sub Category 2,Region 1,Category 3,106.77,C
Product 1315,Sub Category 2,Region 1,Category 3,1.17,C
Product 1317,Sub Category 2,Region 1,Category 3,110.29,C
Product 1318,Sub Category 2,Region 1,Category 3,1.39,C
Product 1321,Sub Category 2,Region 1,Category 3,39.89,C
Product 1374,Sub Category 2,Region 1,Category 3,29.92,C
Product 14,Sub Category 2,Region 1,Category 3,971.52,B
Product 1408,Sub Category 2,Region 1,Category 3,58.67,C
Product 1409,Sub Category 2,Region 1,Category 3,182.67,C
Product 15,Sub Category 2,Region 1,Category 3,5856,A
Product 1622,Sub Category 2,Region 1,Category 3,66.88,C
Product 1623,Sub Category 2,Region 1,Category 3,7.57,C
Product 1729,Sub Category 2,Region 1,Category 3,28.16,C
Product 1929,Sub Category 2,Region 1,Category 3,9.68,C
Product 20,Sub Category 2,Region 1,Category 3,659.2,B
Product 2007,Sub Category 2,Region 1,Category 3,5.28,C
Product 2128,Sub Category 2,Region 1,Category 3,8,C
Product 2129,Sub Category 2,Region 1,Category 3,4,C
Product 2274,Sub Category 2,Region 1,Category 3,7.92,C
Product 2275,Sub Category 2,Region 1,Category 3,427.68,C
Product 2276,Sub Category 2,Region 1,Category 3,612,B
Product 2291,Sub Category 2,Region 1,Category 3,18.93,C
Product 2292,Sub Category 2,Region 1,Category 3,8.52,C
Product 2351,Sub Category 2,Region 1,Category 3,4.4,C
Product 24,Sub Category 2,Region 1,Category 3,6037.84,A
Product 25,Sub Category 2,Region 1,Category 3,2053.92,B
Product 2592,Sub Category 2,Region 1,Category 3,108.24,C
Product 26,Sub Category 2,Region 1,Category 3,189.2,C
Product 28,Sub Category 2,Region 1,Category 3,9671.15,A
Product 282,Sub Category 2,Region 1,Category 3,7,C
Product 283,Sub Category 2,Region 1,Category 3,146.08,C
Product 286,Sub Category 1,Region 1,Category 3,346.67,C
Product 287,Sub Category 2,Region 1,Category 3,1101.32,B
Product 288,Sub Category 2,Region 1,Category 3,2054.8,A
Product 29,Sub Category 2,Region 1,Category 3,4205.09,A
Product 290,Sub Category 2,Region 1,Category 3,85.36,C
Product 30,Sub Category 2,Region 1,Category 3,1016.72,B
Product 31,Sub Category 2,Region 1,Category 3,5252.19,A
Product 3260,Sub Category 2,Region 1,Category 3,1.51,C
Product 3261,Sub Category 2,Region 1,Category 3,17.42,C
Product 3264,Sub Category 2,Region 1,Category 3,154,C
Product 3290,Sub Category 2,Region 1,Category 3,2255.44,A
Product 33,Sub Category 2,Region 1,Category 3,13909.37,A
Product 34,Sub Category 2,Region 1,Category 3,3.79,C
Product 36,Sub Category 2,Region 1,Category 3,473.33,B
Product 39,Sub Category 2,Region 1,Category 3,205.43,C
Product 3984,Sub Category 2,Region 1,Category 3,488.89,B
Product 3985,Sub Category 2,Region 1,Category 3,960.08,B
Product 40,Sub Category 2,Region 1,Category 3,18069.97,A
Product 42,Sub Category 2,Region 1,Category 3,588,B
Product 4241,Sub Category 2,Region 1,Category 3,142,C
Product 43,Sub Category 2,Region 1,Category 3,12376,A
Product 44,Sub Category 1,Region 1,Category 3,166.67,C
Product 4526,Sub Category 2,Region 1,Category 3,205.92,C
Product 4552,Sub Category 2,Region 1,Category 3,17.6,C
Product 46,Sub Category 2,Region 1,Category 3,348,C
Product 48,Sub Category 2,Region 1,Category 3,44.88,C
Product 482,Sub Category 2,Region 1,Category 3,3.52,C
Product 49,Sub Category 2,Region 1,Category 3,696.96,B
Product 51,Sub Category 2,Region 1,Category 3,350.24,C
Product 54,Sub Category 2,Region 1,Category 3,105.56,C
Product 56,Sub Category 1,Region 1,Category 3,183.33,C
Product 57,Sub Category 2,Region 1,Category 3,1621.84,B
Product 58,Sub Category 2,Region 1,Category 3,256.96,C
Product 5877,Sub Category 2,Region 1,Category 3,1308.56,B
Product 59,Sub Category 2,Region 1,Category 3,1527.68,B
Product 610,Sub Category 2,Region 1,Category 3,60.59,C
Product 613,Sub Category 2,Region 1,Category 3,0.88,C
Product 62,Sub Category 2,Region 1,Category 3,1065.68,B
Product 63,Sub Category 2,Region 1,Category 3,360.8,C
Product 64,Sub Category 2,Region 1,Category 3,312.4,C
Product 649,Sub Category 2,Region 1,Category 3,228.8,C
Product 65,Sub Category 2,Region 1,Category 3,589.6,B
Product 651,Sub Category 2,Region 1,Category 3,146.96,C
Product 652,Sub Category 2,Region 1,Category 3,939.84,B
Product 653,Sub Category 2,Region 1,Category 3,16772,A
Product 657,Sub Category 2,Region 1,Category 3,58.96,C
Product 658,Sub Category 2,Region 1,Category 3,20.24,C
Product 659,Sub Category 2,Region 1,Category 3,332,C
Product 661,Sub Category 2,Region 1,Category 3,8.8,C
Product 664,Sub Category 2,Region 1,Category 3,441.33,C
Product 6655,Sub Category 2,Region 1,Category 3,4011.84,A
Product 667,Sub Category 2,Region 1,Category 3,11,C
Product 69,Sub Category 2,Region 1,Category 3,2.84,C
Product 70,Sub Category 1,Region 1,Category 3,1400,B
Product 71,Sub Category 2,Region 1,Category 3,3964.4,A
Product 73,Sub Category 2,Region 1,Category 3,381.04,C
Product 74,Sub Category 2,Region 1,Category 3,132,C
Product 75,Sub Category 2,Region 1,Category 3,5123.36,A
Product 7586,Sub Category 2,Region 1,Category 3,16.67,C
Product 7587,Sub Category 2,Region 1,Category 3,7229.33,A
Product 76,Sub Category 2,Region 1,Category 3,542.96,B
Product 77,Sub Category 2,Region 1,Category 3,836,B
Product 79,Sub Category 2,Region 1,Category 3,17.33,C
Product 1001,Sub Category 12,Region 1,Category 2,3.5,C
Product 1002,Sub Category 12,Region 1,Category 2,6,C
Product 1006,Sub Category 12,Region 1,Category 2,11.5,C
Product 1008,Sub Category 12,Region 1,Category 2,43.5,C
Product 1009,Sub Category 8,Region 1,Category 2,550.67,A
Product 1015,Sub Category 14,Region 1,Category 2,2.08,C
Product 1016,Sub Category 8,Region 1,Category 2,278,B
Product 1018,Sub Category 8,Region 1,Category 2,129.33,B
Product 1019,Sub Category 8,Region 1,Category 2,7.44,C
Product 1021,Sub Category 8,Region 1,Category 2,6770.22,A
Product 1024,Sub Category 8,Region 1,Category 2,1920.17,A
Product 1028,Sub Category 8,Region 1,Category 2,38.67,C
Product 1030,Sub Category 8,Region 1,Category 2,1.07,C
Product 1035,Sub Category 14,Region 1,Category 2,1253.33,A
Product 1038,Sub Category 14,Region 1,Category 2,229.33,B
Product 1039,Sub Category 14,Region 1,Category 2,16,C
Product 1042,Sub Category 14,Region 1,Category 2,494.11,B
Product 1048,Sub Category 14,Region 1,Category 2,45.87,C
Product 1050,Sub Category 14,Region 1,Category 2,197.33,B
Product 1051,Sub Category 14,Region 1,Category 2,2546.67,A
Product 1052,Sub Category 14,Region 1,Category 2,2.5,C
Product 1054,Sub Category 14,Region 1,Category 2,637,A
Product 1059,Sub Category 14,Region 1,Category 2,8,C
Product 1060,Sub Category 14,Region 1,Category 2,0.33,C
Product 1063,Sub Category 14,Region 1,Category 2,57,C
Product 1064,Sub Category 14,Region 1,Category 2,41.33,C
Product 1065,Sub Category 14,Region 1,Category 2,1323.56,A
Product 1067,Sub Category 14,Region 1,Category 2,4828,A
Product 1069,Sub Category 14,Region 1,Category 2,16,C
Product 1076,Sub Category 14,Region 1,Category 2,252,B
Product 1078,Sub Category 14,Region 1,Category 2,997.33,A
Product 1080,Sub Category 14,Region 1,Category 2,12,C
Product 1081,Sub Category 14,Region 1,Category 2,9574.33,A
Product 1083,Sub Category 14,Region 1,Category 2,92,B
Product 1084,Sub Category 14,Region 1,Category 2,22.67,C
Product 1087,Sub Category 14,Region 1,Category 2,3838.58,A
Product 1091,Sub Category 14,Region 1,Category 2,8,C
Product 1096,Sub Category 14,Region 1,Category 2,23.47,C
Product 1097,Sub Category 14,Region 1,Category 2,4.27,C
Product 1099,Sub Category 14,Region 1,Category 2,8.17,C
Product 1100,Sub Category 14,Region 1,Category 2,26.33,C
Product 1104,Sub Category 14,Region 1,Category 2,3.33,C
Product 1105,Sub Category 14,Region 1,Category 2,118,B
Product 1106,Sub Category 14,Region 1,Category 2,13.44,C
Product 1107,Sub Category 14,Region 1,Category 2,9,C
Product 1109,Sub Category 14,Region 1,Category 2,7.5,C
Product 1111,Sub Category 14,Region 1,Category 2,12.27,C
Product 1113,Sub Category 14,Region 1,Category 2,2.44,C
Product 1115,Sub Category 14,Region 1,Category 2,960.89,A
Product 1118,Sub Category 14,Region 1,Category 2,18,C
Product 1119,Sub Category 14,Region 1,Category 2,131.33,B
Product 1120,Sub Category 14,Region 1,Category 2,132.22,B
Product 1122,Sub Category 14,Region 1,Category 2,5.33,C
Product 1126,Sub Category 14,Region 1,Category 2,5,C
Product 1132,Sub Category 14,Region 1,Category 2,25,C
Product 1133,Sub Category 14,Region 1,Category 2,56,C
Product 1136,Sub Category 14,Region 1,Category 2,11,C
Product 1139,Sub Category 14,Region 1,Category 2,1085.33,A
Product 1142,Sub Category 14,Region 1,Category 2,25669.67,A
Product 1146,Sub Category 14,Region 1,Category 2,3175.42,A
Product 1148,Sub Category 14,Region 1,Category 2,280,B
Product 1150,Sub Category 14,Region 1,Category 2,135.08,B
Product 1152,Sub Category 14,Region 1,Category 2,249.33,B
Product 1154,Sub Category 14,Region 1,Category 2,80,C
Product 1155,Sub Category 14,Region 1,Category 2,4.27,C
Product 1157,Sub Category 14,Region 1,Category 2,128,B
Product 1158,Sub Category 14,Region 1,Category 2,828.22,A
Product 1159,Sub Category 14,Region 1,Category 2,486,B
Product 1160,Sub Category 14,Region 1,Category 2,40,C
Product 1161,Sub Category 14,Region 1,Category 2,1.5,C
Product 1162,Sub Category 14,Region 1,Category 2,230,B
Product 1167,Sub Category 13,Region 1,Category 2,66.67,C
Product 1168,Sub Category 13,Region 1,Category 2,34,C
Product 1171,Sub Category 14,Region 1,Category 2,0.16,C
Product 1172,Sub Category 14,Region 1,Category 2,148.09,B
Product 1177,Sub Category 14,Region 1,Category 2,102.83,B
Product 1178,Sub Category 14,Region 1,Category 2,10.11,C
Product 1179,Sub Category 14,Region 1,Category 2,26.67,C
Product 1180,Sub Category 9,Region 1,Category 2,21.78,C
Product 1183,Sub Category 9,Region 1,Category 2,13,C
Product 1185,Sub Category 8,Region 1,Category 2,217.93,B
Product 1186,Sub Category 11,Region 1,Category 2,0.23,C
Product 1187,Sub Category 11,Region 1,Category 2,160.67,B
Product 1190,Sub Category 11,Region 1,Category 2,29.33,C
Product 1191,Sub Category 11,Region 1,Category 2,19.33,C
Product 1192,Sub Category 11,Region 1,Category 2,7.11,C
Product 1193,Sub Category 11,Region 1,Category 2,55,C
Product 1199,Sub Category 9,Region 1,Category 2,198,B
Product 1200,Sub Category 9,Region 1,Category 2,37.78,C
Product 1203,Sub Category 14,Region 1,Category 2,208,B
Product 1204,Sub Category 14,Region 1,Category 2,40,C
Product 1205,Sub Category 14,Region 1,Category 2,7.33,C
Product 1206,Sub Category 14,Region 1,Category 2,8.67,C
Product 1207,Sub Category 14,Region 1,Category 2,928.78,A
Product 1210,Sub Category 14,Region 1,Category 2,1.4,C
Product 1215,Sub Category 13,Region 1,Category 2,33.33,C
Product 1216,Sub Category 13,Region 1,Category 2,16.33,C
Product 1219,Sub Category 13,Region 1,Category 2,68,C
Product 1220,Sub Category 13,Region 1,Category 2,192.22,B
Product 1223,Sub Category 13,Region 1,Category 2,1.33,C
Product 1227,Sub Category 10,Region 1,Category 2,286.73,B
Product 1228,Sub Category 10,Region 1,Category 2,1107.33,A
Product 1229,Sub Category 10,Region 1,Category 2,14.67,C
Product 1231,Sub Category 13,Region 1,Category 2,8,C
Product 1234,Sub Category 14,Region 1,Category 2,106.67,B
Product 1236,Sub Category 14,Region 1,Category 2,80,C
Product 1238,Sub Category 13,Region 1,Category 2,1080,A
Product 1241,Sub Category 13,Region 1,Category 2,366.67,B
Product 1242,Sub Category 13,Region 1,Category 2,2020.67,A
Product 1244,Sub Category 13,Region 1,Category 2,230,B
Product 1246,Sub Category 13,Region 1,Category 2,102.67,B
Product 1247,Sub Category 13,Region 1,Category 2,152,B
Product 1251,Sub Category 13,Region 1,Category 2,41.33,C
Product 1253,Sub Category 13,Region 1,Category 2,1.67,C
Product 1266,Sub Category 13,Region 1,Category 2,81.33,C
Product 1268,Sub Category 13,Region 1,Category 2,11.22,C
Product 1269,Sub Category 13,Region 1,Category 2,14.89,C
Product 1270,Sub Category 13,Region 1,Category 2,22.67,C
Product 1272,Sub Category 13,Region 1,Category 2,9.33,C
Product 1275,Sub Category 14,Region 1,Category 2,8,C
Product 1276,Sub Category 14,Region 1,Category 2,2,C
Product 1277,Sub Category 14,Region 1,Category 2,111.33,B
Product 1278,Sub Category 14,Region 1,Category 2,53.33,C
Product 1281,Sub Category 14,Region 1,Category 2,7,C
Product 1286,Sub Category 8,Region 1,Category 2,148,B
Product 1287,Sub Category 8,Region 1,Category 2,29.33,C
Product 1288,Sub Category 8,Region 1,Category 2,73.33,C
Product 1289,Sub Category 8,Region 1,Category 2,340.89,B
Product 1290,Sub Category 8,Region 1,Category 2,192,B
Product 1292,Sub Category 8,Region 1,Category 2,225.25,B
Product 1294,Sub Category 8,Region 1,Category 2,110.67,B
Product 1295,Sub Category 8,Region 1,Category 2,31.33,C
Product 1299,Sub Category 14,Region 1,Category 2,5554,A
Product 1300,Sub Category 14,Region 1,Category 2,916,A
Product 1301,Sub Category 14,Region 1,Category 2,2200,A
Product 1303,Sub Category 14,Region 1,Category 2,424,B
Product 1305,Sub Category 14,Region 1,Category 2,5131.89,A
Product 1309,Sub Category 14,Region 1,Category 2,260,B
Product 1310,Sub Category 14,Region 1,Category 2,0.22,C
Product 1312,Sub Category 14,Region 1,Category 2,132,B
Product 1323,Sub Category 9,Region 1,Category 2,216,B
Product 1324,Sub Category 9,Region 1,Category 2,25,C
Product 1326,Sub Category 9,Region 1,Category 2,1.94,C
Product 1328,Sub Category 9,Region 1,Category 2,31.73,C
Product 1334,Sub Category 9,Region 1,Category 2,3,C
Product 1335,Sub Category 9,Region 1,Category 2,4,C
Product 1336,Sub Category 9,Region 1,Category 2,3,C
Product 1373,Sub Category 13,Region 1,Category 2,4.44,C
Product 1383,Sub Category 14,Region 1,Category 2,16,C
Product 1443,Sub Category 9,Region 1,Category 2,0.47,C
Product 1493,Sub Category 9,Region 1,Category 2,0.33,C
Product 1500,Sub Category 13,Region 1,Category 2,10.5,C
Product 1501,Sub Category 13,Region 1,Category 2,28,C
Product 1502,Sub Category 13,Region 1,Category 2,3.73,C
Product 1578,Sub Category 3,Region 1,Category 2,5.89,C
Product 1579,Sub Category 3,Region 1,Category 2,28,C
Product 1598,Sub Category 8,Region 1,Category 2,2.33,C
Product 1638,Sub Category 14,Region 1,Category 2,41.33,C
Product 1639,Sub Category 14,Region 1,Category 2,6.67,C
Product 1641,Sub Category 14,Region 1,Category 2,3.27,C
Product 1642,Sub Category 14,Region 1,Category 2,2.67,C
Product 1643,Sub Category 14,Region 1,Category 2,104.22,B
Product 1644,Sub Category 14,Region 1,Category 2,17.33,C
Product 1646,Sub Category 14,Region 1,Category 2,28,C
Product 1648,Sub Category 12,Region 1,Category 2,17.08,C
Product 1650,Sub Category 12,Region 1,Category 2,10.67,C
Product 1651,Sub Category 12,Region 1,Category 2,24.67,C
Product 1652,Sub Category 12,Region 1,Category 2,16.67,C
Product 1653,Sub Category 12,Region 1,Category 2,345.33,B
Product 1654,Sub Category 12,Region 1,Category 2,19,C
Product 1655,Sub Category 12,Region 1,Category 2,18.67,C
Product 1657,Sub Category 12,Region 1,Category 2,2,C
Product 1659,Sub Category 12,Region 1,Category 2,20.5,C
Product 1660,Sub Category 12,Region 1,Category 2,20.5,C
Product 1661,Sub Category 12,Region 1,Category 2,49.33,C
Product 1662,Sub Category 12,Region 1,Category 2,53.33,C
Product 1663,Sub Category 12,Region 1,Category 2,522.67,B
Product 1664,Sub Category 12,Region 1,Category 2,320,B
Product 1665,Sub Category 12,Region 1,Category 2,1210.11,A
Product 1666,Sub Category 12,Region 1,Category 2,1009.67,A
Product 1672,Sub Category 12,Region 1,Category 2,6,C
Product 1678,Sub Category 12,Region 1,Category 2,690.08,A
Product 1679,Sub Category 12,Region 1,Category 2,500,B
Product 1680,Sub Category 12,Region 1,Category 2,2.67,C
Product 1734,Sub Category 14,Region 1,Category 2,0.08,C
Product 1735,Sub Category 14,Region 1,Category 2,1.87,C
Product 1742,Sub Category 14,Region 1,Category 2,201.13,B
Product 1743,Sub Category 14,Region 1,Category 2,433.07,B
Product 1744,Sub Category 14,Region 1,Category 2,26.5,C
Product 1745,Sub Category 14,Region 1,Category 2,2,C
Product 1746,Sub Category 14,Region 1,Category 2,77.5,C
Product 1747,Sub Category 14,Region 1,Category 2,2406.67,A
Product 1748,Sub Category 14,Region 1,Category 2,48.07,C
Product 1749,Sub Category 14,Region 1,Category 2,28.47,C
Product 1750,Sub Category 14,Region 1,Category 2,2.8,C
Product 1751,Sub Category 14,Region 1,Category 2,1.4,C
Product 1757,Sub Category 12,Region 1,Category 2,1.48,C
Product 1824,Sub Category 9,Region 1,Category 2,8.4,C
Product 1827,Sub Category 8,Region 1,Category 2,66.44,C
Product 1841,Sub Category 14,Region 1,Category 2,60,C
Product 1849,Sub Category 13,Region 1,Category 2,12.67,C
Product 1888,Sub Category 14,Region 1,Category 2,138.67,B
Product 1940,Sub Category 14,Region 1,Category 2,1.87,C
Product 2150,Sub Category 9,Region 1,Category 2,4.27,C
Product 2152,Sub Category 9,Region 1,Category 2,1216,A
Product 2153,Sub Category 9,Region 1,Category 2,2390.78,A
Product 2154,Sub Category 9,Region 1,Category 2,8834,A
Product 2203,Sub Category 9,Region 1,Category 2,11.2,C
Product 2255,Sub Category 3,Region 1,Category 2,4,C
Product 2256,Sub Category 3,Region 1,Category 2,6.67,C
Product 2257,Sub Category 3,Region 1,Category 2,4,C
Product 2258,Sub Category 3,Region 1,Category 2,1.87,C
Product 2268,Sub Category 8,Region 1,Category 2,20,C
Product 2270,Sub Category 9,Region 1,Category 2,12.11,C
Product 2277,Sub Category 14,Region 1,Category 2,1026.11,A
Product 2279,Sub Category 14,Region 1,Category 2,0.11,C
Product 228,Sub Category 14,Region 1,Category 2,80,C
Product 2281,Sub Category 11,Region 1,Category 2,15.67,C
Product 2284,Sub Category 9,Region 1,Category 2,88.78,C
Product 2288,Sub Category 9,Region 1,Category 2,0.11,C
Product 229,Sub Category 8,Region 1,Category 2,5,C
Product 2321,Sub Category 11,Region 1,Category 2,10.89,C
Product 2322,Sub Category 11,Region 1,Category 2,2,C
Product 2323,Sub Category 13,Region 1,Category 2,11.67,C
Product 2324,Sub Category 14,Region 1,Category 2,20,C
Product 233,Sub Category 14,Region 1,Category 2,0.11,C
Product 2331,Sub Category 14,Region 1,Category 2,2,C
Product 2341,Sub Category 14,Region 1,Category 2,20,C
Product 2342,Sub Category 9,Region 1,Category 2,0.78,C
Product 2348,Sub Category 13,Region 1,Category 2,16,C
Product 2411,Sub Category 11,Region 1,Category 2,49.11,C
Product 2415,Sub Category 10,Region 1,Category 2,2.93,C
Product 2462,Sub Category 8,Region 1,Category 2,47.67,C
Product 2463,Sub Category 14,Region 1,Category 2,5,C
Product 2465,Sub Category 14,Region 1,Category 2,1.17,C
