Category,ItemId,Plan,Super Category,Volume
Sub Category 1,Product 286,Region 1,Category 3,346.67
Sub Category 1,Product 44,Region 1,Category 3,166.67
Sub Category 1,Product 70,Region 1,Category 3,1400
Sub Category 1,Product 56,Region 1,Category 3,183.33
Sub Category 2,Product 651,Region 1,Category 3,146.96
Sub Category 2,Product 652,Region 1,Category 3,939.84
Sub Category 2,Product 653,Region 1,Category 3,16772
Sub Category 2,Product 664,Region 1,Category 3,441.33
Sub Category 2,Product 661,Region 1,Category 3,8.8
Sub Category 2,Product 649,Region 1,Category 3,228.8
Sub Category 2,Product 3290,Region 1,Category 3,2255.44
Sub Category 2,Product 482,Region 1,Category 3,3.52
Sub Category 2,Product 2292,Region 1,Category 3,8.52
Sub Category 2,Product 2291,Region 1,Category 3,18.93
Sub Category 2,Product 288,Region 1,Category 3,2054.8
Sub Category 2,Product 2592,Region 1,Category 3,108.24
Sub Category 2,Product 287,Region 1,Category 3,1101.32
Sub Category 2,Product 5877,Region 1,Category 3,1308.56
Sub Category 2,Product 290,Region 1,Category 3,85.36
Sub Category 2,Product 46,Region 1,Category 3,348
Sub Category 2,Product 43,Region 1,Category 3,12376
Sub Category 2,Product 51,Region 1,Category 3,350.24
Sub Category 2,Product 48,Region 1,Category 3,44.88
Sub Category 2,Product 667,Region 1,Category 3,11
Sub Category 2,Product 49,Region 1,Category 3,696.96
Sub Category 2,Product 42,Region 1,Category 3,588
Sub Category 2,Product 1314,Region 1,Category 3,106.77
Sub Category 2,Product 1315,Region 1,Category 3,1.17
Sub Category 2,Product 1321,Region 1,Category 3,39.89
Sub Category 2,Product 1317,Region 1,Category 3,110.29
Sub Category 2,Product 1318,Region 1,Category 3,1.39
Sub Category 2,Product 657,Region 1,Category 3,58.96
Sub Category 2,Product 658,Region 1,Category 3,20.24
Sub Category 2,Product 659,Region 1,Category 3,332
Sub Category 2,Product 1409,Region 1,Category 3,182.67
Sub Category 2,Product 1408,Region 1,Category 3,58.67
Sub Category 2,Product 36,Region 1,Category 3,473.33
Sub Category 2,Product 40,Region 1,Category 3,18069.97
Sub Category 2,Product 69,Region 1,Category 3,2.84
Sub Category 2,Product 33,Region 1,Category 3,13909.37
Sub Category 2,Product 39,Region 1,Category 3,205.43
Sub Category 2,Product 34,Region 1,Category 3,3.79
Sub Category 2,Product 4241,Region 1,Category 3,142
Sub Category 2,Product 62,Region 1,Category 3,1065.68
Sub Category 2,Product 64,Region 1,Category 3,312.4
Sub Category 2,Product 73,Region 1,Category 3,381.04
Sub Category 2,Product 74,Region 1,Category 3,132
Sub Category 2,Product 76,Region 1,Category 3,542.96
Sub Category 2,Product 77,Region 1,Category 3,836
Sub Category 2,Product 57,Region 1,Category 3,1621.84
Sub Category 2,Product 59,Region 1,Category 3,1527.68
Sub Category 2,Product 54,Region 1,Category 3,105.56
Sub Category 2,Product 65,Region 1,Category 3,589.6
Sub Category 2,Product 75,Region 1,Category 3,5123.36
Sub Category 2,Product 58,Region 1,Category 3,256.96
Sub Category 2,Product 63,Region 1,Category 3,360.8
Sub Category 2,Product 71,Region 1,Category 3,3964.4
Sub Category 2,Product 79,Region 1,Category 3,17.33
Sub Category 2,Product 28,Region 1,Category 3,9671.15
Sub Category 2,Product 24,Region 1,Category 3,6037.84
Sub Category 2,Product 31,Region 1,Category 3,5252.19
Sub Category 2,Product 25,Region 1,Category 3,2053.92
Sub Category 2,Product 6655,Region 1,Category 3,4011.84
Sub Category 2,Product 29,Region 1,Category 3,4205.09
Sub Category 2,Product 30,Region 1,Category 3,1016.72
Sub Category 2,Product 26,Region 1,Category 3,189.2
Sub Category 2,Product 20,Region 1,Category 3,659.2
Sub Category 2,Product 3984,Region 1,Category 3,488.89
Sub Category 2,Product 3985,Region 1,Category 3,960.08
Sub Category 2,Product 7586,Region 1,Category 3,16.67
